page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
4,1,1,,"HAGUE, SAHADY & CO., CPA’s P.C.",,,,,,
17,1,1,Pension related deferred outflows Total deferred outflows of resources,,,,,,,
17,1,2,,"2,171,905",,-,,,,
25,1,1,Pension,,,,,,,
25,1,2,,Trust Fund,,,,,,
25,1,3,,,,,,,,
25,1,4,,,,,,,,
25,1,5,,,,,,,,
25,1,6,,,,,,,,
25,1,7,,,,,,,,
25,1,8,,,,,,,,
25,1,9,,,,,,,,
25,1,10,,,,,,,,
25,1,11,,,,,,,,
25,1,12,,,,,,,,
25,1,13,,,,,,,,
25,1,14,,,,,,,,
25,1,15,,,,,,,,
25,1,16,,,,,,,,
25,1,17,,,,,,,,
25,1,18,,,,,,,,
25,1,19,,,,,,,,
25,1,20,,,,,,,,
25,1,21,,,,,,,,
25,1,22,,,,,,,,
25,1,23,,,,,,,,
125,1,1,,"HAGUE, SAHADY & CO., CPA’s P.C.",,,,,,
