page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
5,1,1,Summary of Fiscal Year 2026 (FY 2026) Proposed Budget,,,,,,,
5,1,2,Article,General Government,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,,
5,1,3,28,Town Clerk,"172,315","184,829",7.26%,"184,829",,
5,1,4,30,Board of Canvassers,"16,000","20,000",25.00%,"20,000",,
5,1,5,31,Budget Committee,"9,500","10,000",5.26%,"10,000",,
5,1,6,36,Capital Expenditure,"250,000","374,774",39.94%,0,,
5,1,7,38,Town Administrator,"88,094","90,773",3.04%,"90,773",,
5,1,8,39,Town Council,"20,428","21,128",3.43%,"21,128",,
5,1,9,40,Building Dept/Zoning Official,"96,304","97,706",1.46%,"97,706",,
5,1,10,41,Inspectors,"37,000","41,000",10.81%,"41,000",,
5,1,11,42,Advisory Boards,"50,500","64,000",26.73%,"64,000",,
5,1,12,47,Insurance,"173,257","190,257",9.81%,"190,257",,
5,1,13,48,Legal Services,"123,000","128,000",4.06%,"128,000",,
5,1,14,49,Incidental & Emergency,"171,420","160,000",-6.66%,"160,000",,
5,1,15,61,Probate Judge,"6,525","6,848",4.95%,"6,848",,
5,1,16,"1,214,343 1,390,315 13.51% 1,014,541",,"1,214,343","1,390,315",13.51%,"1,014,541",,
5,1,17,Article,Information Technologies,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,,
5,1,18,57,Computer Services,"169,000","272,910",61.49%,"169,000",,
5,1,19,,,,,,,,
5,1,20,Article,School,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,,
5,1,21,25,School Department,"8,571,725","8,863,976",3.41%,"8,863,976",,
5,1,22,,Town Contribution,"8,050,425","8,261,138",2.62%,"8,261,138",,
5,1,23,"NOTE: Town portion is $8,261,138 (2.62% Increase)",NOTE: Town portion is,,,,,,
5,1,24,,"$8,261,138 (2.62% Increase)",,,,,,
5,1,25,Article,Public Safety,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,,
5,1,26,19,Police Department,"1,242,309","1,422,966",14.54%,"1,422,966",,
5,1,27,19,Dispatchers,"252,281","272,602",8.05%,"272,602",,
5,1,28,20,Public Safety Complex,"62,880","65,280",3.82%,"65,280",,
5,1,29,21,Fire Department,"1,159,381","1,363,996",17.65%,"1,363,996",,
5,1,30,22,Ambulance Reimbursement,"140,000","140,000",0.00%,"140,000",,
5,1,31,"2,856,851 3,264,844 14.28% 3,264,844",,"2,856,851","3,264,844",14.28%,"3,264,844",,
5,1,32,Article,Public Works,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,,
5,1,33,35,Wastewater Treatment Facility,"10,000","25,000",150.00%,"25,000",,
5,1,34,50,Town Hall,"54,400","49,000",-9.93%,"49,000",,
5,1,35,53,Transfer Station,"257,293","261,793",1.75%,"261,793",,
5,1,36,54,Department of Public Works,"273,104","334,787",22.59%,"284,950",,
5,1,37,55,Highway Department,"266,300","275,800",3.57%,"275,800",,
5,1,38,56,Tree Warden,"35,000","40,000",14.29%,"40,000",,
5,1,39,60,Street Lights,"9,000","9,000",0.00%,"9,000",,
5,1,40,62,I.O.O.F./32 Commons Mtg Hall,"8,950","12,750",42.46%,"12,750",,
5,1,41,"914,047 1,008,130 10.29% 958,293",,"914,047 1,008,130 10.29% 958,293",,,,,
5,1,42,Article,Employee Benefits,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,,
5,1,43,23,Alfred Texceira,"1,000","1,000",0.00%,"1,000",,
5,1,44,24,Leonard Corrao,"18,915","18,915",0.00%,"18,915",,
5,1,45,45,OPEB Health Benefits,"160,595","170,231",6.00%,"170,231",,
5,1,46,45,Active Health Benefits,"795,789","852,278",7.10%,"917,278",,
5,1,47,46,F.I.C.A. Misc. Benefits,"258,319","319,215",23.57%,"319,215",,
5,1,48,52,Pension,"416,819","542,226",26.15%,"542,226",,
5,1,49,"1,651,437 1,903,865 14.20% 1,968,865 5",,"1,651,437 1,903,865 14.20% 1,968,865",,,,,
6,1,1,Article,Financial,,FY 2025 (Approved),FY 2026 (Requested),% Increase/Decrease,FY 2026 BudCom Recommedation,
6,1,2,33,Tax Assessor,,"130,367","140,599",7.85%,"140,599",
6,1,3,34,Tax Assessor-Revaluation,,"45,000","65,000",44.44%,"45,000",
6,1,4,32,Finance Department,,"135,159","149,626",10.70%,"149,626",
6,1,5,58,Auditing,,"35,000","45,000",28.57%,"45,000",
