page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
1,1,1,MUNICIPALITY NOTES RRE COMM PP MV,,,,,,,
1,1,2,BARRINGTON,2 $14.75 $14.75 $14.75 $0.00,,,,,,
1,1,3,BRISTOL 13.82 13.82 13.00 0.00,,,,,,,
1,1,4,BURRILLVILLE 14.98 14.98 14.39 0.00,,,,,,,
1,1,5,CENTRAL FALLS 6 18.81 30.96 38.33 0.00,,,,,,,
1,1,6,CHARLESTOWN 5.78 5.78 5.74 0.00,,,,,,,
1,1,7,COVENTRY 15.84 22.26 20.65 0.00,,,,,,,
1,1,8,CRANSTON 2 13.61 20.42,,,28.35,0.00,,,
1,1,9,CUMBERLAND 1 11.95 11.95 30.88 0.00,,,,,,,
1,1,10,EAST GREENWICH 2 14.73 27.00 45.50 0.00,,,,,,,
1,1,11,"EAST PROVIDENCE 1, 6 15.33 23.92 56.81 0.00",,,,,,,
1,1,12,EXETER 2 11.49 11.49 11.49 0.00,,,,,,,
1,1,13,FOSTER 2 20.83 20.83 31.12 0.00,,,,,,,
1,1,14,GLOCESTER 13.86 16.63 28.50 0.00,,,,,,,
1,1,15,HOPKINTON 15.06 15.06 14.66 0.00,,,,,,,
1,1,16,JAMESTOWN 7.17 7.17 6.98 0.00,,,,,,,
1,1,17,JOHNSTON 6 15.30 27.43 64.65 0.00,,,,,,,
1,1,18,LINCOLN 6 17.35 26.03 30.07 0.00,,,,,,,
1,1,19,LITTLE COMPTON 5.08 5.08 9.92 0.00,,,,,,,
1,1,20,MIDDLETOWN,"2, 6 8.66 12.98 18.70 0.00",,,,,,
1,1,21,"NARRAGANSETT 2, 6 6.55 8.84 8.84 0.00",,,,,,,
1,1,22,NEW SHOREHAM,5.52 5.52 6.02 0.00,,,,,,
1,1,23,NEWPORT 2 8.22 10.46 14.88 0.00,,,,,,,
1,1,24,NORTH KINGSTOWN 6 14.34 16.28 17.85 0.00,,,,,,,
1,1,25,NORTH PROVIDENCE 6 16.61 23.35 58.58 0.00,,,,,,,
1,1,26,NORTH SMITHFIELD,14.77 20.43 43.63 0.00,,,,,,
1,1,27,PAWTUCKET 2 12.34 21.60 52.09 0.00,,,,,,,
1,1,28,PORTSMOUTH 13.18 132.18 15.65 0.00,,,,,,,
1,1,29,PROVIDENCE 6 18.35 35.10 53.40 0.00,,,,,,,
1,1,30,RICHMOND,14.67 14.67 14.76 0.00,,,,,,
1,1,31,SCITUATE 17.32 25.38 35.69 0.00,,,,,,,
1,1,32,SMITHFIELD 14.44 20.21 59.74 0.00,,,,,,,
1,1,33,SOUTH KINGSTOWN 11.05 11.05 11.05 0.00,,,,,,,
1,1,34,TIVERTON,2 11.05 11.05 11.05 0.00,,,,,,
1,1,35,WARREN 14.44 14.44 18.01 0.00,,,,,,,
1,1,36,WARWICK 14.47 25.32 37.46 0.00,,,,,,,
1,1,37,"WEST GREENWICH 2, 3 16.00 23.75 34.80 0.00",,,,,,,
1,1,38,WEST WARWICK 4 18.69,,32.00,46.99 0.00,,,,
1,1,39,WESTERLY 9.81 9.81 11.59 0.00,,,,,,,
1,1,40,WOONSOCKET 6 14.54 26.98 46.58 0.00,,,,,,,
