page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
1,1,1,Town of Little Compton FY27 Budget Summary,,,,,,,
1,1,2,With Comparitive Amounts for FY26 Budget,,,,,,,
1,1,3,Report Date: 2/26/26,,,,,,,
1,1,4,,,FY26 Budget,FY27 Budget,,,,
1,1,5,,,,,,,,
1,1,6,Revenues,,,,,,,
1,1,7,Town Resources:,,,,,,,
1,1,8,Property Taxes,,"$ 15,887,497","$ 16,601,000",,,,
1,1,9,Town Administration Fees,,"350,000","280,400",,,,
1,1,10,Town Beach Fees,,"300,000","381,000",,,,
1,1,11,Building Fees,,"155,000","235,000",,,,
1,1,12,Cell Tower Fees,,"49,000","49,000",,,,
1,1,13,Investments and Other Income,,"27,207","42,750",,,,
1,1,14,Total Town Resources,,"16,768,704","17,589,150",,,,
1,1,15,,,,,,,,
1,1,16,Total State Resources,,"862,475","990,200",,,,
1,1,17,Other Revenues - Ambulance Reimb,,"140,000","190,000",,,,
1,1,18,Total Revenues,,"17,771,179","18,769,350",,,,
1,1,19,,,,,,,,
1,1,20,Expenses,,,,,,,
1,1,21,GeneralGovernment,,"1,042,193","1,137,699",,,,
1,1,22,Information Technologies,,"169,000","406,000",,,,
1,1,23,Schools - Town Appropriation,,"8,261,138","8,508,972",,,,
1,1,24,Public Safety,,"4,161,205","4,180,645",,,,
1,1,25,Public Works,,"964,640","1,015,900",,,,
1,1,26,Employee Benefits - OPEB,,"359,573","208,915",,,,
1,1,27,Financial,,"899,157","831,769",,,,
1,1,28,Public Welfare,,"79,300","80,200",,,,
1,1,29,Parks & Recreation,,"393,200","419,000",,,,
1,1,30,Library,,"249,785","259,149",,,,
1,1,31,Grants and Charitable,,"167,728","153,694",,,,
1,1,32,Capital:,,,,,,,
1,1,33,Ambulance Reimbursement,,"140,000","190,000",,,,
1,1,34,General Operating,,,"300,000",,,,
1,1,35,Debt Service,,"884,260","1,077,406",,,,
1,1,36,Total Operating Expenses,,"17,771,179","18,769,350",,,,
2,1,1,Town of Little Compton FY27 Budget Summary,,,,,,,
2,1,2,With Comparitive Amounts for FY26 Budget,,,,,,,
2,1,3,Report Date: 2/26/26,,,,,,,
2,1,4,,Warrant No.,FY26 Budget,FY27 Budget,,,,
2,1,5,Expenses,,,,,,,
2,1,6,,,,,,,,
2,1,7,General Government,,,,,,,
2,1,8,Town Council,,"$ 22,179","$ 24,400",,,,
2,1,9,Town Administrator,,"115,028","177,838",,,,
2,1,10,Probate,,"6,848","7,535",,,,
2,1,11,Board of Canvassers,,"20,000","21,500",,,,
2,1,12,Solicitor,,"128,000","141,000",,,,
2,1,13,Town Clerk,,"299,438","237,916",,,,
2,1,14,Contingency,,"153,894","185,000",,,,
2,1,15,Building/Zoning,,"138,864","145,340",,,,
2,1,16,Inspectors,,"44,139","44,100",,,,
2,1,17,Historic Preservation,,"2,000","2,000",,,,
2,1,18,Charter Review,,"1,000","4,500",,,,
2,1,19,Planning Board,,"24,959","58,600",,,,
2,1,20,LC Housing Trust,,0,"25,000",,,,
2,1,21,Zoning Board,,"9,845","4,970",,,,
2,1,22,Conservation Commission,,"7,000","9,000",,,,
2,1,23,Town Hall,,"49,000","49,000",,,,
2,1,24,,,,,,,,
2,1,25,TOTAL,,"$ 1,022,194","$ 1,137,699",,,,
2,1,26,,,,,,,,
2,1,27,Information Technologies,,"$ 279,130","$ 406,000",,,,
2,1,28,,,,,,,,
2,1,29,Schools - Town Appropriation,,"$ 8,261,138","$ 8,508,972",,,,
2,1,30,,,,,,,,
2,1,31,Public Works,,,,,,,
2,1,32,Waste Water,,"$ 25,000","$ 25,000",,,,
2,1,33,Transfer Station,,"261,793","335,000",,,,
2,1,34,Highway Dept.,,"275,800","176,300",,,,
2,1,35,DPW,,"353,047","396,650",,,,
2,1,36,Tree Warden,,"40,000","49,000",,,,
2,1,37,Street Lights,,"9,000","16,200",,,,
2,1,38,Town Landing,,"5,000","5,000",,,,
2,1,39,IOOF 32 Commons,,"12,750","12,750",,,,
2,1,40,,,,,,,,
2,1,41,TOTAL,,"$ 982,390","$ 1,015,900",,,,
2,1,42,,,,,,,,
3,1,1,Town of Little Compton FY27 Budget Summary,,,,,,,
3,1,2,With Comparitive Amounts for FY26 Budget,,,,,,,
3,1,3,Report Date: 2/26/26,,,,,,,
3,1,4,,Warrant No.,FY26 Budget,FY27 Budget,,,,
3,1,5,Expenses,,,,,,,
3,1,6,,,,,,,,
3,1,7,Public Safety,,,,,,,
3,1,8,Police,,"$ 1,793,994","$ 1,773,646",,,,
3,1,9,Dispatch,,"434,901","403,000",,,,
3,1,10,Public Safety Complex,,"65,280","66,000",,,,
3,1,11,Fire,,"1,867,030","1,938,000",,,,
3,1,12,,,,,,,,
3,1,13,TOTAL,,"$ 4,161,205","$ 4,180,646",,,,
3,1,14,,,,,,,,
3,1,15,Employee Benefits - OPEB,,,,,,,
3,1,16,Pension,,"$ 211,325","$ 19,915",,,,
3,1,17,OPEB,,"168,247","189,000",,,,
3,1,18,,,,,,,,
3,1,19,TOTAL,,"$ 379,572","$ 208,915",,,,
3,1,20,,,,,,,,
3,1,21,Financial,,,,,,,
3,1,22,Insurance,,"$ 190,257","$ 195,000",,,,
3,1,23,Audit,,"45,000","50,000",,,,
3,1,24,Finance Department,,"261,041","261,000",,,,
3,1,25,Human Resources,,0,"45,000",,,,
3,1,26,Tax Assessor,,"222,565","245,469",,,,
3,1,27,Revaluation,,"45,000","25,000",,,,
3,1,28,Budget Committee,,"10,027","10,300",,,,
3,1,29,,,,,,,,
3,1,30,TOTAL,,"$ 773,890","$ 831,769",,,,
3,1,31,,,,,,,,
3,1,32,Public Welfare - Social/Senior Services,,"$ 81,687","$ 80,200",,,,
3,1,33,,,,,,,,
3,1,34,Parks & Recreation,,,,,,,
3,1,35,Civic Recreation,,"$ 48,000","$ 51,500",,,,
3,1,36,Wilbour Woods,,"10,000","15,000",,,,
3,1,37,Beach,,"330,200","352,500",,,,
3,1,38,,,,,,,,
3,1,39,TOTAL,,"$ 388,200","$ 419,000",,,,
3,1,40,,,,,,,,
3,1,41,Library,,"$ 249,785","$ 259,149",,,,
4,1,1,Town of Little Compton FY27 Budget Summary,,,,,,,
4,1,2,With Comparitive Amounts for FY26 Budget,,,,,,,
4,1,3,Report Date: 2/26/26,,,,,,,
4,1,4,,Warrant No.,FY26 Budget,FY27 Budget,,,,
4,1,5,Expenses,,,,,,,
4,1,6,,,,,,,,
4,1,7,,,,,,,,
4,1,8,Grants and Charitable,,,,,,,
4,1,9,Brownell House,,"$ 10,000","$ 10,000",,,,
4,1,10,LC Food Bank,,"37,500","37,500",,,,
4,1,11,LCCC Senior Meals,,"30,000","30,000",,,,
4,1,12,Friends LC Nursing,,"28,000","30,000",,,,
4,1,13,Prevention Coalition,,"1,000","1,500",,,,
4,1,14,Stay At Home LC,,"11,900","11,900",,,,
4,1,15,Conservation District,,"1,500","1,500",,,,
4,1,16,Wildlife Clinic,,"1,078",544,,,,
4,1,17,East Bay Community,,750,750,,,,
4,1,18,Police/Fire Detail 350th,,"31,000",0,,,,
4,1,19,250th/350th Funding Request,,"15,000","30,000",,,,
4,1,20,,,,,,,,
4,1,21,TOTAL,,"$ 167,728","$ 153,694",,,,
4,1,22,,,,,,,,
4,1,23,Capital - General Operating Fund,,$ -,"$ 300,000",,,,
4,1,24,,,,,,,,
4,1,25,Capital - Ambulance Reimbursement,,"$ 140,000","$ 190,000",,,,
4,1,26,,,,,,,,
4,1,27,Debt Service - Town Bond,,,,,,,
4,1,28,Principal,,"$ 205,000","$ 205,000",,,,
4,1,29,Interest,,"27,260","23,406",,,,
4,1,30,,,,,,,,
4,1,31,Debt Service - School Bonds,,,,,,,
