page,table_index,row_index,c1,c2,c3,c4,c5,c6,c7,c8
2,1,1,1-7,,,,,,,
2,1,2,8,,,,,,,
2,1,3,9,,,,,,,
2,1,4,10-13,,,,,,,
2,1,5,,,,,,,,
2,1,6,14,,,,,,,
2,1,7,15,,,,,,,
2,1,8,16,,,,,,,
2,1,9,17,,,,,,,
2,1,10,18,,,,,,,
2,1,11,19,,,,,,,
2,1,12,20,,,,,,,
2,1,13,21,,,,,,,
2,1,14,22,,,,,,,
2,1,15,23,,,,,,,
2,1,16,24,,,,,,,
2,1,17,25,,,,,,,
2,1,18,26,,,,,,,
2,1,19,27,,,,,,,
2,1,20,28,,,,,,,
2,1,21,29,,,,,,,
2,1,22,30,,,,,,,
2,1,23,31,,,,,,,
2,1,24,32,,,,,,,
2,1,25,33,,,,,,,
2,1,26,34,,,,,,,
2,1,27,35,,,,,,,
2,1,28,36,,,,,,,
2,1,29,37,,,,,,,
2,1,30,38,,,,,,,
2,1,31,39,,,,,,,
2,1,32,40,,,,,,,
2,1,33,41,,,,,,,
2,1,34,42,,,,,,,
10,1,1,Town of Little Compton FY27 Budget Summary,,,,,,,
10,1,2,Financial Summary for Fiscal Year 2026 with Comparative Amounts for Fiscal years 2025 and 2024 (Unaudited) and 2023 Audited,,,,,,,
10,1,3,Report Date: 2/1/26,,,,,,,
10,1,4,,,Audited,Audited,Budget,Unaudited,12.31.25,Budget
10,1,5,,,2023,2024,2025,,FY 2026,
10,1,6,Revenues,,,,,,,
10,1,7,Town Resources:,,,,,,,
10,1,8,Property Taxes,,"$ 13,299,221","$ 13,381,674","$ 14,318,229","$ 14,154,001","$ 9,438,987","$ 15,887,497"
10,1,9,Town Administration Fees,,"310,785","264,916","275,000","386,953","249,861","350,000"
10,1,10,Town Beach Fees,,"285,045","282,752","215,000","232,546","213,835","300,000"
10,1,11,Building Fees,,"158,256","336,506","140,000","210,310","87,304","155,000"
10,1,12,Cell Tower Fees,,-,,"49,000","49,000",,"49,000"
10,1,13,Investments and Other Income,,"84,730","89,968","5,000","3,309","16,513","27,207"
10,1,14,Total Town Resources,,"14,138,037","14,355,816","15,002,229","15,036,119","10,006,500","16,768,704"
10,1,15,,,,,,,,
10,1,16,Total State Resources,,"731,424","850,248","943,142","855,613","233,393","862,475"
10,1,17,Other Revenues - Ambulance Reimb,,-,0,"140,000","183,616",,"140,000"
10,1,18,Total Revenues,,"14,869,461","15,206,064","16,085,371","16,075,348","10,239,893","17,771,179"
10,1,19,,,,,,,,
10,1,20,Expenses,,,,,,,
10,1,21,GeneralGovernment,,"1,380,386","1,033,156","932,842","923,985","524,420","1,042,193"
10,1,22,Information Technologies,,"158,329","144,821","169,000","160,093","110,117","169,000"
10,1,23,Schools - Town Appropriation,,"7,638,456","7,815,947","8,050,425","8,125,692","3,535,000","8,261,138"
10,1,24,Public Safety,,"3,195,292","3,474,198","3,671,097","3,709,672","1,984,827","4,161,205"
10,1,25,Public Works,,"648,751","734,990","917,175","1,674,828","864,699","964,640"
10,1,26,Employee Benefits - OPEB,,"199,755","296,721","291,872","202,739","133,302","359,573"
10,1,27,Financial,,"390,714","415,590","666,949","728,191","224,148","899,157"
10,1,28,Public Welfare,,"12,598","5,201","16,000","22,667","16,449","79,300"
10,1,29,Parks & Recreation,,"256,972","346,557","373,200","326,461","240,590","393,200"
10,1,30,Library,,"212,041","239,366","238,155","224,581","117,771","249,785"
10,1,31,Grants and Charitable,,"27,850","32,296","42,750","87,750","113,700","167,728"
10,1,32,Capital:,,,,,,,
